the_geom,Number,Name
"MULTIPOLYGON (((-97.12729918659093 49.94681596516404, -97.12721745582822 49.946866535523085, -97.1223161544171 49.949904021000016, -97.11713740065126 49.95311279149509, -97.1063800247043 49.94963336387905, -97.11015426278847 49.94681650243229, -97.11237136105835 49.94376482004454, -97.11340567157919 49.94234050172568, -97.12729918659093 49.94681596516404)))",3.318,Margaret Park
"MULTIPOLYGON (((-97.12721745582822 49.946866535523085, -97.14761265113643 49.95343984941494, -97.14101062067387 49.96082905016716, -97.11713740065126 49.95311279149509, -97.1223161544171 49.949904021000016, -97.12721745582822 49.946866535523085)))",3.324,Templeton-sinclair
